Store,Product,Price
eMAG,"Laptop 14"" cu procesor Intel Celeron N4120, 8GB RAM, 512GB SSD, 1920*1080 FHD, Windows 11 Pro, Intel® UHD Graphics 600, 5GHz Wifi, 5000mAh, Argintiu","1.299,54"
eMAG,"Laptop Lenovo IdeaPad Slim 3 15IRH10, 83K10079BM, 15.3"", Intel Core i5-13420H (8 nuclee), Intel Iris Xe Graphics, 16GB 4800MHz (1x 8GB integrat) DDR5, Albastru","3.711,55"
eMAG,"Laptop Lenovo ThinkPad E14 G7 cu Intel Core 5 210H (1.6/4.8 GHz, 12M), 16 GB, 1TB M.2 NVMe SSD, Intel UHD Graphics Xe G4 48EUs, Windows 11 Home, Negru","6.819,89"
eMAG,"Laptop Lenovo Legion Pro 7 16IAX10H, 83F50046BM, 16"", Intel Core Ultra 9 275HX (24-core), NVIDIA GeForce RTX 5080 (16 GB GDDR7), 32GB 6400MHz (2x16GB) LPDDR5X, Negru","19.641,79"
eMAG,"Laptop ASUS Vivobook 16 X1607QA cu procesor Snapdragon® X X1 26 100 pana la 2.97GHz, 16'', WUXGA, IPS, 16GB LPDDR5X RAM, 1TB SSD, Qualcomm® Adreno™ GPU, Windows 11 Home, Quiet Blue","3.199,99"
eMAG,"Laptop Apple MacBook Pro 14"" cu procesor Apple M5, 10 nuclee CPU si 10 nuclee GPU, 24GB RAM, 1TB SSD, Space Black, Tastatura Internationala, Manual RO","10.499,99"
eMAG,"Laptop Gaming MSI Cyborg 15 B13WEKG cu procesor Intel® Core™ i7-13620H pana la 4.90 GHz, 15.6"", Full HD, 144Hz, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 5050 8GB, Free DOS","4.999,99"
eMAG,"Laptop ASUS Vivobook Go 15 E1504FA cu procesor AMD Ryzen™ 5 7520U pana la 4.3GHz, 15.6'', Full HD, IPS, 8GB LPDDR5 RAM, 512GB SSD, AMD Radeon™ Graphics, No OS, Mixed Black","1.799,99"
eMAG,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 10 nuclee GPU, 16GB RAM, 512GB, Sky Blue, Tastatura Internationala, Manual RO","5.499,99"
eMAG,"Laptop Lenovo IdeaPad Slim 5 13ARP10 cu procesor AMD Ryzen™ 5 7535HS pana la 4.55GHz, 13.3'' WUXGA, IPS, 16GB LPDDR5x RAM, 512GB SSD, AMD Radeon™ 660M Graphics, No OS, Polar Blue","2.899,99"
eMAG,"Laptop Lenovo IdeaPad Slim 5 16IRH10 cu procesor Intel® Core™ i5-13420H pana la 4.6GHz, 16"" WUXGA, IPS, 16GB DDR5 RAM, 1TB SSD, Intel® UHD Graphics, No OS, Luna Grey","3.099,99"
eMAG,"Laptop ASUS Vivobook S14 S3407VA cu procesor Intel® Core™ 5 210H pana la 4.80 GHz, 14'', WUXGA, IPS, 16GB DDR5 RAM, 1TB SSD, Intel® UHD Graphics, Windows 11 Home, Matte Gray","3.399,99"
eMAG,"Laptop Asus Vivobook 16 X1605VA-SH2557, X1605VA-SH2557, 16"", Intel Core 9 270H (14-core), Intel UHD Graphics, 24GB (8GB onboard + 16GB) DDR5, Argintiu","6.323,99"
eMAG,"Laptop Lenovo Yoga Pro 7 14IAH10 cu procesor Intel® Core Ultra 7 255H pana la 5.1GHz, 14.5"" 3K, OLED, 120Hz, Touch, 32GB LPDDR5x RAM, 1TB SSD, Intel® Arc™ Graphics, Windows® 11 Pro, Luna Grey, 3y on-site Premium Care","7.299,99"
eMAG,"Laptop Lenovo IdeaPad Slim 3 16ARP10, 83K8004FBM, 16"", AMD Ryzen 5 7535HS (6-core), AMD Radeon 660M, 16GB 4800MHz (1x 8GB onboard) DDR5, Gri","3.599,08"
eMAG,"Laptop Lenovo IdeaPad Slim 3 14ARP10, 83K60047BM, 14"", AMD Ryzen 5 7535HS (6-core), AMD Radeon 660M, 16GB 4800MHz (1x 8GB onboard) DDR5, Albastru","3.532,62"
eMAG,"Laptop ASUS Vivobook S16 S3607VA cu procesor Intel Core i5-13420H pana la 4.6GHz, 16'', WUXGA, IPS, 144Hz, 16GB DDR5 RAM, 1TB SSD, Intel UHD Graphics, No OS, Matte Gray","3.299,99"
eMAG,"Laptop Dell Pro 15 Essential PV15250 cu procesor Intel® Core™ i5-1334U pana la 4.60 GHz, 15.6"" FullHD, 120Hz, 16GB DDR4, 1TB SSD, Intel Integrated Graphics, Windows 11 Pro, Platinum Silver","3.449,99"
eMAG,"Laptop Lenovo IdeaPad Slim 5 14IRH10R cu procesor Intel® Core™ 7 240H pana la 5.2GHz, 14"" WUXGA, OLED, 32GB DDR5 RAM, 1TB SSD, Intel® Graphics, No OS, Cosmic Blue","4.299,99"
eMAG,"Laptop Lenovo V15 G5 IRL cu procesor Intel® Core i7-13620H pana la 4.90 GHz, 15.6"" FHD, 16GB RAM, 512GB SSD, Intel® UHD Graphics, No OS","2.843,50"
eMAG,"Laptop Energizer EnergyBook cu procesor Intel® Celeron® N4020 pana la 2.80GHz, 15.6'', HD+, 8GB RAM, 256GB SSD, Intel® UHD Graphics 600, Windows 11 Home, Grey","1.399,99"
eMAG,"Laptop Lenovo ThinkPad T14s 2-in-1 Gen 1, 21R3004KBM, 14"", Intel Core Ultra 7 255U (12-core), Intel Arc 4 Core, 32GB 7467MHz onboard LPDDR5X, Negru","14.365,79"
eMAG,"Laptop Lenovo LOQ Essential 15ARP10, 83S00054BM, 15.6"", AMD Ryzen 7 7735HS (8-core), NVIDIA GeForce RTX 4050 (6GB GDDR6), 16GB 4800MHz (1x16GB) DDR5, Gri","6.252,41"
eMAG,"Laptop Asus ROG Strix SCAR 16 G635LX-RW103X, G635LX-RW103X, 16"", Intel Core Ultra 9 275HX (24-core), NVIDIA GeForce RTX 5090 (24 GB GDDR7), 64GB 5600MHz (2x32GB) DDR5, Negru","28.864,56"
eMAG,"Laptop MSI Katana 15 HX B14WEK, 9S7-1587C1-214, 15.6"", Intel Core i7-14650HX (16-core), NVIDIA GeForce RTX 5050 (8GB GDDR7), 16GB 5600MHz (2x8GB) DDR5, Negru","8.195,13"
eMAG,"Laptop Asus ROG Strix G16 G615LW-S5031W, G615LW-S5031W, 16"", Intel Core Ultra 9 275HX (24-core), NVIDIA GeForce RTX 5080 (16 GB GDDR7), 32GB 5600MHz (2x16GB) DDR5, Negru","21.656,08"
eMAG,"Laptop Lenovo IdeaPad Pro 5 16IAH10, 83JM000LBM, 16"", Intel Core Ultra 9 285H (16-core), NVIDIA GeForce RTX 5050 (8GB GDDR7), 32GB 8400MHz LPDDR5X, Gri","11.318,80"
eMAG,"Laptop Lenovo Legion Pro 5 16IAX10, 83F3002HBM, 16"", Intel Core Ultra 7 255HX (12-core), NVIDIA GeForce RTX 5070 (8GB GDDR7), 32GB 6400MHz (2x16GB) DDR5, Negru","14.585,63"
eMAG,"Laptop Lenovo V15 G5 IRL, 83GW007WBM, 15.6"", Intel Core i3-1315U (6-core), Intel Iris Xe Graphics, 8GB 5200MHz (1x8GB) DDR5, Negru","2.643,06"
eMAG,"Laptop Lenovo IdeaPad Flex 5 14ABR8, 82XX00GDBM, 14"", AMD Ryzen 7 5825U (8-core), AMD Radeon Graphics, 16GB 4266Mhz LPDDR4X, Argintiu","4.785,16"
eMAG,"Laptop Lenovo ThinkPad T14 G6, 21QG000VBM, 14"", Intel Core Ultra 5 228V (8-core), Intel Arc 130V 7 Core, 32GB 8533MHz LPDDR5x, Negru","11.400,60"
eMAG,"Laptop Lenovo ThinkPad T16 G4, 21QE0044BM, 16"", Intel Core Ultra 7 255U (12 nuclee), Intel Arc 8 Core, 32GB 5600MHz (2x16GB) DDR5, Negru","12.612,24"
eMAG,"Laptop Lenovo IdeaPad Pro 5 14AKP10, 83JL000VBM, AMD Ryzen AI 5 340 (6-core), AMD Radeon 840M Graphics, 32GB 8000MHz LPDDR5x, Gri","6.191,07"
eMAG,"Laptop Asus ROG Zephyrus G16 vGU605CW-QR092X, GU605CW-QR092X, 16"", Intel Core Ultra 9 285H (16 nuclee), NVIDIA GeForce RTX 5080 (16 GB GDDR7), 64GB 7467MHz LPDDR5x, Gri","25.868,69"
eMAG,"Laptop Lenovo IdeaPad Slim 3 15IRH10 cu procesor Intel® Core i5-13420H pana la 4.6GHz, 15.3"" WUXGA, IPS, 16GB DDRR5 RAM, 512GB SSD, Intel® UHD Graphics, Windows® 11 Home, Luna Grey","3.149,99"
eMAG,"Laptop ASUS Vivobook S16 OLED M5606KA cu procesor AMD Ryzen™ AI 7 350 pana la 5.0GHz, 16'', 3K, OLED, 120Hz, 24GB LPDDR5X RAM, 1TB SSD, AMD Radeon™ Graphics, No OS, Neutral Black","6.018,37"
eMAG,"Laptop 15.6"" cu procesor Intel Alder Lake N95, 16GB RAM, 512GB SSD, 1920*1080 FHD, Windows 11 Pro, Intel® UHD Graphics 600, 5GHz Wifi, 5000mAh, Argintiu","1.698,84"
eMAG,"Laptop Lenovo IdeaPad Slim 5 14AKP10 cu procesor AMD Ryzen™ AI 7 350 pana la 5.0GHz, 14"" WUXGA, OLED, 32GB DDR5 RAM, 1TB SSD, AMD Radeon™ 860M Graphics, No OS, Cosmic Blue","4.769,82"
eMAG,"Laptop Lenovo Yoga Slim 7 14ILL10 cu procesor Intel® Core™ Ultra 5 226V pana la 4.5GHz, 14"" WUXGA, OLED, 16GB LPDDR5x RAM, 512GB SSD, Intel® Arc™ Graphics, Windows® 11 Home, Luna Grey, 3y on-site Premium Care","5.449,84"
