Store,Product,Price
eMAG,"Placa video XFX Swift AMD Radeon™ RX 9060 XT OC Gaming Edition, 16GB GDDR6, 128-bit","2.820,10"
eMAG,"Placa video, AFOX, Negru","187,25"
eMAG,Placa video SPARKLE Intel ARC A750 TITAN OC Edition 8GB GDDR6 256-bit,"1.307,99"
eMAG,"Placa video, Palit, Nvidia GeForce RTX 5070 Ti GamingPro-S OC 16GB GDDR7 placă video - NE7507TS19T2-GB2031U","5.499,99"
eMAG,"Placa video MSI GeForce RTX™ 5060 Ti 8G GAMING OC, 8GB GDDR7, 128-bit","2.399,99"
eMAG,"Placă video Gigabyte R9700, 32GB GDDR6, 256 bit, multicolor, PCIE 5.0","8.922,18"
eMAG,"Placa video MSI GeForce RTX™ 3050 LP E 6G OC, 6GB GDDR6, 96-bit","1.333,00"
eMAG,"Placa video GIGABYTE Radeon™ RX 9070 GAMING, 16GB GDDR6, 256 bit, Negru","3.459,99"
eMAG,"Placa video MSI GeForce RTX™ 5060 Ti 16G SHADOW 2X OC PLUS, 16GB GDDR7, 128-bit","3.199,99"
eMAG,"Placa video ASUS Dual GeForce RTX™ 5060 Ti White OC Edition, 8GB GDDR7, 128-bit","2.499,99"
eMAG,"Placa video LUNAHORNET AMD Radeon RX 580, 8GB GDDR5 256b, 1206MHz, Alb, pentru jocuri 1080P/PC birou/editing video","762,17"
eMAG,"Placa video MSI GeForce RTX™ 3050 LP E 6G OC, 6GB GDDR6, 96-bit","1.333,32"
eMAG,"Placa video MSI GeForce RTX 5070 VENTUS 3X OC, 12GB GDDR7, 192-bit","3.599,99"
eMAG,"Placa video ASUS PRIME GeForce RTX™ 5070 Ti OC Edition, 16GB GDDR7, 256-bit","5.799,99"
eMAG,Placa Video GIGABYTE RX 9060 XT GAMING OC 8GB,"1.999,99"
eMAG,"Placa video Sparkle Intel ARC A770 ROC OC, 16GB GDDR6, 256-bit","1.993,36"
eMAG,"Placa video XFX Swift AMD Radeon™ RX 9060 XT OC Gaming Edition, 8GB GDDR6, 128-bit","1.799,99"
eMAG,"Placa video SAPPHIRE PURE AMD RADEON™ RX 9070 GAMING OC, 16GB GDDR6, 256-bit","3.299,99"
eMAG,"Placa video Gigabyte GeForce RTX 5060 EAGLE OC ICE 8G, GDDR7, 128 bit, Alb","1.899,99"
eMAG,"Placa video ASUS Dual Radeon™ RX 9060 XT, 16GB GDDR6, 128-bit","2.549,99"
eMAG,"Placa video MSI GeForce RTX 5070 VENTUS 2X OC, 12GB GDDR7, 192-bit","3.599,99"
eMAG,"Placa video GIGABYTE AORUS GeForce RTX™ 5080 MASTER ICE, 16GB GDDR7, 256-bit","7.999,99"
eMAG,"Placa video LUNAHORNET nVidia GeForce GTX 1650, 4GB GDDR6 128-bit, 1710MHz, negru-rosu, dual-fan, pentru jocuri 1080P/PC birou","1.204,68"
eMAG,"Placa video MSI GeForce RTX™ 5050 Shadow 2X OC, 8GB GDDR6, 128-bit","1.549,99"
