Store,Product,Price
eMAG,"Apple MacBook Neo 13"" Retina cu procesor Apple A18 Pro 6 nuclee CPU, 5 nuclee GPU, 16 nuclee NeuralEngine, 8GB RAM, 256GB SSD, Citrus, Tastatura Internationala, Manual RO","3.399,99"
eMAG,"Laptop Lenovo IdeaPad Slim 3 15AMN8 cu procesor AMD Ryzen™ 5 7520U pana la 4.3GHz, 15.6"" Full HD, 16GB LPDDR5 RAM, 512GB SSD, AMD Radeon™ 610M Graphics, Windows® 11 Home, Abyss Blue","3.793,62"
eMAG,"Laptop Asus VivoBook 15 X1504VA-BQ2886, 15.6 inch 1920 x 1080, Intel Core 5 - 120U 10 C / 12 T, 5.0 GHz, 12 MB cache, 15 W, 8 GB RAM, 512 GB SSD, Intel Graphics, Fara sistem de operare, Tastatura English, Albastru","2.590,45"
eMAG,"Laptop Apple MacBook Air 15"", cu procesor Apple M4, 10 nuclee CPU si 10 nuclee GPU, 16GB, 256GB, Midnight, Tastatura Internationala, Manual RO","5.399,99"
eMAG,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB, Starlight, Tastatura Internationala, Manual RO","4.799,99"
eMAG,"Apple MacBook Neo 13"" Retina cu procesor Apple A18 Pro 6 nuclee CPU, 5 nuclee GPU, 16 nuclee NeuralEngine, 8GB RAM, 512GB SSD, Silver, Tastatura Internationala, Manual RO","3.799,99"
eMAG,"Laptop Acer Aspire Go 14 AG14-72P-51H6, display 14 inch, procesor Intel Core i5, rezoluție 1920x1200","2.571,99"
eMAG,"Apple MacBook Air 15'' cu procesor Apple M5, 10 nuclee CPU, 10 nuclee GPU, 16GB RAM, 512GB SSD, Midnight, Tastatura Internationala, Manual RO","7.499,99"
eMAG,"Laptop Gaming Acer Nitro Lite 16 NL16-71G-57M9 cu procesor Intel® Core™ i5-13420H pana la 4.7GHz, 16'', WUXGA, IPS, 165Hz, 16GB DDR5 RAM, 512GB SSD, NVIDIA® GeForce RTX™ 3050 6GB GDDR6, No OS, Shale Black","3.499,99"
eMAG,"Apple MacBook Pro 14'' cu procesor Apple M5 Pro, 15 nuclee CPU, 16 nuclee GPU, 24GB RAM, 1TB SSD, Silver, Tastatura Internationala, Manual RO","12.829,99"
eMAG,"Laptop ASUS Vivobook 15 E1504FA cu procesor AMD Ryzen™ 3 7320U pana la 4.1GHz, 15.6'', Full HD, IPS, 8GB LPDDR5 RAM, 512GB SSD, AMD Radeon™ Graphics, No OS, Mixed Black","1.749,99"
eMAG,"Apple MacBook Air 15'' cu procesor Apple M5, 10 nuclee CPU, 10 nuclee GPU, 16GB RAM, 512GB SSD, Sky Blue, Tastatura Internationala, Manual RO","7.649,99"
eMAG,"Laptop Apple MacBook Pro 14"" cu procesor Apple M5, 10 nuclee CPU si 10 nuclee GPU, 16GB RAM, 512GB SSD, Space Black, Tastatura Internationala, Manual RO","8.799,99"
eMAG,"Laptop Lenovo IdeaPad Slim 3 15IRH10 cu procesor Intel® Core™ i5-13420H pana la 4.6GHz, 15.3"" WUXGA, IPS, 16GB DDR5 RAM, 512GB SSD, Intel® UHD Graphics, No OS, METAL, Luna Grey","2.349,99"
eMAG,"Laptop Acer Aspire Lite 15 AL15-41P-R7LQ cu procesor AMD Ryzen™ 3 5300U pana la 3.80 GHz, 15,6"" , Full HD, IPS 16GB DDR4 RAM, 512GB SSD, AMD Radeon™ Graphics, No OS, Light Silver","1.699,99"
eMAG,"Laptop Acer Aspire Lite 15 AL15-72P-54J8 cu procesor Intel® Core™ i5-13420H pana la 4.6GHz, 15.6'', Full HD, IPS, 16GB DDR5 RAM, 512GB SSD, Intel® UHD Graphics, No OS, Pure Silver","2.499,99"
eMAG,"Laptop Apple MacBook Pro 14"" cu procesor Apple M5, 10 nuclee CPU si 10 nuclee GPU, 24GB RAM, 1TB SSD, Space Black, Tastatura Internationala, Manual RO","10.499,99"
eMAG,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 10 nuclee GPU, 24GB RAM, 512GB, Sky Blue, Tastatura Internationala, Manual RO","6.399,99"
eMAG,"Laptop Gaming HP Victus 16-s0101nq cu procesor AMD Ryzen™ 7 7840HS pana la 5.1 GHz, 16.1"", Full HD, IPS, 144Hz, 32GB DDR5, 1TB SSD, NVIDIA GeForce RTX 4070 8GB, Free DOS, Mica Silver","9.499,71"
eMAG,"Apple MacBook Air 13'' cu procesor Apple M5, 10 nuclee CPU, 8 nuclee GPU, 16GB RAM, 512GB SSD, Sky Blue, Tastatura Internationala, Manual RO","5.997,49"
eMAG,"Apple MacBook Neo 13"" Retina cu procesor Apple A18 Pro 6 nuclee CPU, 5 nuclee GPU, 16 nuclee NeuralEngine, 8GB RAM, 256GB SSD, Blush, Tastatura Internationala, Manual RO","3.399,99"
eMAG,"Laptop Gaming Lenovo LOQ 15IRX9 cu procesoare Intel® Core i7-13650HX pana la 4.9GHz, 15.6"" Full HD, IPS, 144Hz, 16GB DDR5 RAM, 512GB SSD, NVIDIA® GeForce RTX™ 4050 6GB GDDR6, No OS, Luna Grey","4.499,99"
eMAG,"Apple MacBook Air 13'' cu procesor Apple M5, 10 nuclee CPU, 8 nuclee GPU, 16GB RAM, 512GB SSD, Starlight, Tastatura Internationala, Manual RO","5.999,99"
eMAG,"Laptop Panasonic Toughbook 40 MK1 FZ-40BZ01HME, 14 inch 1920 x 1080 Touchscreen, Intel 1145G7 4 C / 8 T, 2.4 GHz - 4.4 GHz, 8 MB cache, 16 GB DDR4, 512 GB SSD, Intel Graphics, Windows 10","28.225,77"
eMAG,"Laptop Lenovo IdeaPad Slim 5 14AHP10 cu procesor AMD Ryzen™ 7 8845HS pana la 5.1GHz, 14'' WUXGA, IPS, 16GB DDR5 RAM, 1TB SSD, AMD Radeon™ 780M Graphics, No OS, Cosmic Blue","3.499,99"
eMAG,"Apple MacBook Neo 13"" Retina cu procesor Apple A18 Pro 6 nuclee CPU, 5 nuclee GPU, 16 nuclee NeuralEngine, 8GB RAM, 512GB SSD, Citrus, Tastatura Internationala, Manual RO","3.799,99"
eMAG,"Laptop Gaming Acer Nitro V 15 ANV15-52-953S cu procesor Intel® Core™ i9-13900H pana la 5.4GHZ, 15.6"" Full HD, IPS, 165Hz, 32GB DDR4, 1TB SSD, NVIDIA® GeForce RTX™ 5060, No OS, Black","6.999,99"
eMAG,"Laptop ASUS Vivobook S16 S3607VA cu procesor Intel Core i5-13420H pana la 4.6GHz, 16'', WUXGA, IPS, 144Hz, 16GB DDR5 RAM, 1TB SSD, Intel UHD Graphics, No OS, Matte Gray","2.899,99"
eMAG,"Apple MacBook Pro 14'' cu procesor Apple M5 Pro, 15 nuclee CPU, 16 nuclee GPU, 24GB RAM, 1TB SSD, Space Black, Tastatura Internationala, Manual RO","13.295,25"
eMAG,"Laptop Lenovo IdeaPad 5 2-in-1 14IRH9 cu procesor Intel® Core™ i7-13620H pana la 4.9GHz, 14"" WUXGA, OLED, Touch, 16GB LPDDR5x RAM, 1TB SSD, Intel® UHD Graphics, No OS, Luna Grey","4.239,99"
eMAG,"Laptop Gaming Lenovo Legion 7 16IAX10 cu procesor Intel® Core™ Ultra 9 275HX pana la 5.4GHz, 16"" WQXGA, OLED, 240Hz, 32GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 5070 8GB GDDR7, No OS, Glacier White, 3y on-site Premium Care","10.399,99"
eMAG,"Laptop Gaming Acer Nitro Lite 16 NL16-71G-751G cu procesor Intel® Core™ i7-13620H pana la 4.90 GHz, 16'', WUXGA, IPS, 165Hz, 16GB DDR5 RAM, 512GB SSD, NVIDIA® GeForce RTX™ 3050 6GB GDDR6, No OS, Shale Black","4.099,99"
eMAG,"Laptop Gaming Lenovo LOQ 15IRX9 cu procesor Intel® Core™ i7-13650HX pana la 4.9GHz, 15.6"" Full HD, IPS, 144Hz, 24GB DDR5, 1TB SSD, NVIDIA® GeForce RTX™ 4050 6GB GDDR6, No OS, Luna Grey","5.199,99"
eMAG,"Laptop ASUS ExpertBook P1 P1503CVA cu procesor Intel® Core™ i3-1315U pana la 4.5GHz, 15.6'', Full HD, 8GB DDR5 RAM, 256GB SSD, Intel® UHD Graphics, No OS, Misty Grey","de la 1.599,99"
eMAG,"Laptop ASUS Vivobook 15 M1502YA cu procesor AMD Ryzen™ 5 7430U pana la 4.3 GHz, 15.6'', Full HD, IPS, 8GB DDR4, 512GB SSD, AMD Radeon™ Graphics, No OS, Quiet Blue","1.799,99"
eMAG,"Laptop Lenovo IdeaPad Slim 3 15AMN8 cu procesor AMD Ryzen™ 3 7320U pana la 4.1GHz, 15.6"" Full HD, 8GB LPDDR5 RAM, 256GB SSD, AMD Radeon™ 610M Graphics, No OS, Arctic Grey","1.699,99"
eMAG,"Laptop Lenovo V15 G4 IRU cu procesor lntel® Core™ i5-13420H pana la 4.6GHz, 15.6"", Full HD, IPS, 16GB DDR4 RAM, 1TB SSD, Intel® UHD Graphics, No OS, Business Black","2.699,99"
eMAG,"Laptop Lenovo IdeaPad Slim 3 15IAN8 cu procesor Intel® N100 pana la 3.4GHz, 15.6"" FHD, 8GB LPDDR5, 128GB UFS, Intel® UHD Graphics, Windows® 11 Home S, Arctic Grey","2.544,24"
eMAG,"Laptop Auusda cu procesor Intel Alder Celeon N5100,4C/4T, 16GB, 512Go SSD, 15 ""6"" FHD, Windows 11, Intel UHD Graphics, Roz","1.996,50"
eMAG,"Laptop ASUS Zenbook A14 UX3407RA cu procesor Snapdragon® X Elite X1E 78 100 pana la 3.4GHz, 14'', WUXGA, OLED, 16GB LPDDR5X RAM, 1TB SSD, Qualcomm® Adreno™ GPU, Windows 11 Pro, Zabriskie Beige","6.335,00"
eMAG,"Laptop Gaming MSI Cyborg 15 B13WEKG cu procesor Intel® Core™ i7-13620H pana la 4.90 GHz, 15.6"", Full HD, 144Hz, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 5050 8GB, Free DOS","4.799,99"
eMAG,"Laptop Getac V110 G4 VG21ZCK4BPBX, 11.6 inch 1366 x 768 Touchscreen, Intel, 2.5 GHz, 8 GB RAM, 128 GB SSD, Intel Graphics, Windows 10 Pro","18.051,46"
eMAG,"Laptop ASUS Vivobook 15 A1502VA cu procesor Intel® Core™ i5-13420H pana la 4.6GHz, 15.6'', Full HD, IPS, 16GB DDR4 RAM, 512GB SSD, Intel® UHD Graphics, No OS, Cool Silver","2.299,99"
eMAG,"Laptop HP 15-fc0038nq cu procesor AMD Ryzen™ 7 5825U pana la 4.5GHz, 15.6'', Full HD, 16GB DDR4 RAM, 1TB SSD, AMD Radeon™ Graphics, Free DOS, Grey","2.199,99"
eMAG,"Apple MacBook Pro 16'' cu procesor Apple M5 Pro, 18 nuclee CPU, 20 nuclee GPU, 24GB RAM, 1TB SSD, Silver, Tastatura Internationala, Manual RO","15.399,99"
eMAG,"Laptop Lenovo V15 G5 IRL cu procesor Intel® Core i3-1315U pana la 4.5GHZ, 15.6"" Full HD, 16GB DDR5 RAM, 512GB SSD, Intel® UHD Graphics, No OS, Business Black","2.028,69"
eMAG,"Laptop Lenovo V15 G5 IRL cu procesor Intel® Core i3-1315U pana la 4.50 GHz, 15.6"" FHD, 8GB RAM, 512GB SSD, Intel® UHD Graphics, No OS","1.799,99"
eMAG,"Laptop Business Dell Pro 15 Essential cu procesor Intel® Core™ i7-1355U pana la 5.00 GHz, 15.6"", Full HD, 120Hz, 16GB RAM, 512GB SSD, Intel® UHD Graphics, Windows 11 Pro, FPR, Backlit, 3y ProSupport and Next Business Day Onsite","3.899,99"
eMAG,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 10 nuclee GPU, 24GB RAM, 512GB, Midnight, Tastatura Internationala, Manual RO","6.952,42"
eMAG,"Laptop HP ProBook 4 G1i, 14 inch 1920 x 1200, Intel Core Ultra 7 255U 12 C / 14 T, 2.4 GHz - 5.2 GHz, 12 MB cache, 24 GB DDR5-SDRAM, 1 TB SSD, Intel Graphics, Windows 11 Pro","6.220,30"
